name,municipality,code,coordinates
Utirik Airport,Utirik Island,UTK,"169.852005, 11.222"
Ocean Reef Club Airport,Key Largo,OCA,"-80.274803161621, 25.325399398804"
Pilot Station Airport,Pilot Station,PQS,"-162.899994, 61.934601"
Crested Butte Airpark,Crested Butte,CSE,"-106.928341, 38.851918"
LBJ Ranch Airport,Johnson City,JCY,"-98.62249755859999, 30.251800537100003"
Metropolitan Airport,Palmer,PMX,"-72.31140136719999, 42.223300933800004"
Loring Seaplane Base,Loring,WLR,"-131.636993408, 55.6012992859"
Nunapitchuk Airport,Nunapitchuk,NUP,"-162.440454, 60.905591"
Port Alice Seaplane Base,Port Alice,PTC,"-133.597, 55.803"
Icy Bay Airport,Icy Bay,ICY,"-141.662002563, 59.96900177"
Port Protection Seaplane Base,Port Protection,PPV,"-133.61000061035, 56.328800201416"
Kalakaket Creek AS Airport,Kalakaket Creek,KKK,"-156.820392609, 64.4166256967"
Dunsmuir Muni-Mott Airport,Dunsmuir,MHS,"-122.272003, 41.263199"
Chase Field Industrial Airport,Beeville,NIR,"-97.661917, 28.362444"
Grand Canyon Bar Ten Airstrip,Whitmore,GCT,"-113.231159, 36.258614"
Ellamar Seaplane Base,Ellamar,ELW,"-146.704038, 60.893818"
Lime Village Airport,Lime Village,LVD,"-155.440002441, 61.3591003418"
Hog River Airport,Hogatza,HGZ,"-155.6690063, 66.2161026"
Ed-Air Airport,Oaktown,OTN,"-87.4997024536, 38.851398468"
Telida Airport,Telida,TLF,"-153.26899719238, 63.393901824951"
Eagle Air Park,Brazoria,BZT,"-95.579696655273, 28.982200622559"
Entrance Island Seaplane Base,Entrance Island,HBH,"-133.43848, 57.412201"
False Island Seaplane Base,False Island,FAK,"-135.212997437, 57.5321998596"
Blakely Island Airport,Blakely Island,BYW,"-122.825996399, 48.578998565700005"
Drift River Airport,Kenai,DRF,"-152.162002563, 60.588901519800004"
Rinkenberger Restricted Landing Area,Bradford,BDF,"-89.61569976810001, 41.230899810800004"
Roy Otten Memorial Airfield,Versailles,VRS,"-92.875198364258, 38.427799224854"
Golden Horn Lodge Seaplane Base,Golden Horn Lodge,GDH,"-158.875, 59.7470016479"
Atmautluak Airport,Atmautluak,ATT,"-162.272995, 60.866699"
Livengood Camp Airport,Livengood,LIV,"-148.6534, 65.467"
Pedro Bay Airport,Pedro Bay,PDB,"-154.12399292, 59.7896003723"
Ouzinkie Airport,Ouzinkie,KOZ,"-152.496715, 57.925362"
Tununak Airport,Tununak,TNK,"-165.27200317383, 60.575500488281"
Ben Bruce Memorial Airpark,Evadale,EVA,"-94.07350158690001, 30.3209991455"
Hyder Seaplane Base,Hyder,WHD,"-130.009975, 55.903324"
Minto Al Wright Airport,Minto,MNT,"-149.369995, 65.1437"
Tokeen Seaplane Base,Tokeen,TKI,"-133.32699585, 55.9370994568"
Aleknagik / New Airport,Aleknagik,WKK,"-158.617996216, 59.2826004028"
Ketchikan Harbor Seaplane Base,Ketchikan,WFB,"-131.677002, 55.349899"
Naknek Airport,Naknek,NNK,"-157.02000427246, 58.732898712158"
Lake Brooks Seaplane Base,Katmai National Park,BKF,"-155.77699279785, 58.554798126221"
Southern Seaplane Airport,Belle Chasse,BCS,"-90.0222015381, 29.8661003113"
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ,"-118.275001526, 33.7491989136"
East 34th Street Heliport,New York,TSS,"-73.97209930419922, 40.74259948730469"
New York Skyports Inc Seaplane Base,New York,QNY,"-73.9729, 40.734001"
Earl Henry Airport,Blackwell,BWL,"-97.3170013428, 36.7958984375"
Yes Bay Lodge Seaplane Base,Yes Bay,WYB,"-131.800994873, 55.9163017273"
Center Island Airport,Center Island,CWS,"-122.832000732, 48.4901008606"
Tatitlek Airport,Tatitlek,TEK,"-146.690297, 60.871449"
Pine Island Airport,Corolla,DUF,"-75.7884979248, 36.2535018921"
Stuart Island Airpark,Stuart Island,SSW,"-123.17600250244, 48.672901153564"
Fort Bragg Airport,Fort Bragg,FOB,"-123.79599762, 39.4743003845"
Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,PUL,"-122.64700317383, 47.734001159668"
Century City Heliport,Los Angeles,CCD,"-118.417999268, 34.060798645"
Meyers Chuck Seaplane Base,Meyers Chuck,WMK,"-132.255004883, 55.7396011353"
Maxson Airfield,Alexandria Bay,AXB,"-75.90034, 44.312002"
Reese Airpark,Lubbock,REE,"-102.03700256348, 33.590301513672"
Waldron Airstrip,East Sound,WDN,"-123.017998, 48.7118"
Whale Pass Seaplane Float Harbor Facility,Whale Pass,WWP,"-133.121994, 56.116299"
Chuathbaluk Airport,Chuathbaluk,CHU,"-159.216003, 61.579102"
Ugashik Airport,Ugashik,UGS,"-157.399002075, 57.5279006958"
Marlboro Airport,Marlboro,MXG,"-71.509002, 42.343201"
Philadelphia Seaplane Base,Essington,PSQ,"-75.299598693848, 39.859001159668"
Levelock Airport,Levelock,KLL,"-156.85899353, 59.128101348899996"
Saginaw Seaplane Base,Saginaw Bay,SGW,"-134.158004761, 56.8862991333"
Tuntutuliak Airport,Tuntutuliak,WTL,"-162.667007446, 60.3353004456"
Twin Hills Airport,Twin Hills,TWA,"-160.27299499512, 59.07559967041"
Chignik Lake Airport,Chignik Lake,KCQ,"-158.774993896, 56.2550010681"
Adado Airport,Adado,AAD,"46.6375, 6.095802"
Atkamba Airport,Atkamba Mission,ABP,"141.095277778, -6.0655555555600005"
Abau Airport,Abau,ABW,"148.7389, -10.1956"
Andorra la Vella Heliport,Andorra La Vella,ALV,"1.533551, 42.511174"
Andakombe Airport,Andekombe,ADC,"145.744722222, -7.13722222222"
El Daein Airport,El Daein,ADV,"26.1186, 11.4023"
Jebel Ali Seaplane Base,Jebel Ali,DJH,"55.023796, 24.988967"
Adareil Airport,,AEE,"32.9594444444, 10.0536111111"
Algeciras Heliport,Algeciras,AEI,"-5.441118, 36.12888"
Aseki Airport,Aseki,AEK,"146.19386673, -7.35080485552"
Ar Horqin Airport,Chifeng,AEQ,"120.15958, 43.87042"
OrÅ«zgÄn Airport,OrÅ«zgÄn,URZ,"66.630897522, 32.9029998779"
Salerno Airport,Khost,OLR,"69.9561, 33.3638"
Kondavattavana Tank Seaplane Base,Ampara,AFK,"81.644, 7.284"
Afore Airstrip,,AFR,"148.390833333, -9.142222222220001"
Afutara Aerodrome,Bila,AFT,"160.948611111, -9.19138888889"
Ulawa Airport,Arona,RNA,"161.979546547, -9.86054358262"
Uru Harbour Airport,Atoifi,ATD,"161.011002, -8.87333"
Barakoma Airport,Barakoma,VEV,"156.70599365234375, -7.912779808044434"
Geva Airport,Liangia,GEF,"156.5970001220703, -7.575829982757568"
Angoram Airport,Angoram,AGG,"144.073888889, -4.05583333333"
Gwaunaru'u Airport,Auki,AKS,"160.682007, -8.70257"
Bellona/Anua Airport,Anua,BNY,"159.798333333, -11.302222222200001"
Choiseul Bay Airport,,CHY,"156.396111, -6.711944"
Ballalae Airport,Ballalae,BAS,"155.886656, -6.990745"
Fera/Maringe Airport,Fera Island,FRE,"159.576996, -8.1075"
Honiara International Airport,Honiara,HIR,"160.05499267578, -9.4280004501343"
Babanakira Airport,Mbambanakira,MBU,"159.83900451660156, -9.7475004196167"
Avu Avu Airport,,AVU,"160.410555556, -9.86833333333"
Ngorangora Airport,Kirakira,IRA,"161.897994995, -10.449700355500001"
Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SCZ,"165.7949981689453, -10.72029972076416"
Munda Airport,,MUA,"157.26300048828125, -8.327969551086426"
Nusatupe Airport,Gizo,GZO,"156.863998413, -8.09778022766"
Mono Airport,Stirling Island,MNY,"155.56500244140625, -7.416940212249756"
Parasi Airport,Parasi,PRS,"161.4250030517578, -9.641670227050781"
Ontong Java Atoll Airstrip,Ontong Java Atoll,OTV,"159.527778, -5.515"
Rennell/Tingoa Airport,Rennell Island,RNL,"160.06300354003906, -11.533900260925293"
Sege Airport,Sege,EGM,"157.87600708007812, -8.578889846801758"
Santa Ana Airport,Santa Ana Island,NNB,"162.454108, -10.847994"
Marau Airport,Marau,RUS,"160.824996948, -9.861669540409999"
Suavanao Airport,Suavanao,VAO,"158.7310028076172, -7.585559844970703"
Yandina Airport,Yandina,XYA,"159.21841, -9.092816"
Kagua Airport,Kagua,AGK,"143.853611111, -6.396388888890001"
Kaghau Airport,Kagau Island,KGE,"157.585, -7.3305"
Kukudu Airport,Kolombangara Island,KUE,"156.94783, -8.0262"
Kwailabesi Airport,Kwailabesi,KWS,"160.775127, -8.360508"
Wanigela Airport,,AGL,"149.155555556, -9.3375"
Nana Airport,Star Harbor,NAZ,"162.2049, -10.6758"
Ringi Cove Airport,Ringi Cove,RIN,"157.14300537109375, -8.12639045715332"
Ramata Airport,Ramata,RBV,"157.64300537109375, -8.168060302734375"
Tulaghi Heliport,Tulaghi Island,TLG,"160.149166667, -9.108"
Argyle Downs Airport,Argyle Downs,AGY,"128.9245, -16.514"
Hongyuan Airport,Aba,AHJ,"102.35224, 32.53154"
Amchitka Army Airfield,Amchitka Island,AHT,"179.259166667, 51.3777777778"
Ambatolhy Airport,Ambatolahy,AHY,"45.535, -20.015833333299998"
Aiome Airport,Aiome,AIE,"144.7307003, -5.145699978"
Aiambak Airport,Aiambak,AIH,"141.2675, -7.342777777779999"
Ailinglaplap Airok Airport,Bigatyelang Island,AIC,"168.8257, 7.279422"
Chena Hot Springs Airport,Chena Hot Springs,CEX,"-146.04699707, 65.0518035889"
Solomon State Field,Solomon,SOL,"-164.4457, 64.5605"
Herendeen Bay Airport,Herendeen Bay,HED,"-160.899002075, 55.801399231"
Taylor Airport,Taylor,TWE,"-164.798995972, 65.6792984009"
Tikchik Lodge Seaplane Base,Tikchik,KTH,"-158.477005005, 59.9631996155"
Naukati Bay Seaplane Base,Tuxekan Island,NKI,"-133.227994, 55.849602"
Lonely Air Station,Lonely,LNI,"-153.2420044, 70.91069794"
Candle 2 Airport,Candle,CDL,"-161.925994873, 65.907699585"
Amook Bay Seaplane Base,Amook Bay,AOS,"-153.815002441, 57.4715003967"
Bartletts Airport,Egegik,BSZ,"-157.352005005, 58.2162017822"
Boswell Bay Airport,Boswell Bay,BSW,"-146.145996094, 60.4230995178"
Zakuoma Airport,ZaKouma,AKM,"19.8172222222, 10.8902777778"
Sharpe Field,Tuskegee,TGE,"-85.7755966187, 32.4919013977"
Alitak Seaplane Base,Lazy Bay,ALZ,"-154.248001099, 56.8995018005"
Mar de CortÃ©s International Airport,Puerto PeÃ±asco,PPE,"-113.305177, 31.351987"
Alto Molocue Airport,Alto Molocue,AME,"37.6813888889, -15.6102777778"
Ama Airport,,AMF,"141.67, -4.10111111111"
Amanab Airport,Amanab,AMU,"141.214333333, -3.586"
Ambatomainty Airport,,AMY,"45.623888888900005, -17.6866666667"
Anuha Island Resort Airport,Anhua Island,ANH,"160.225, -9.00138888889"
Nauru International Airport,Yaren District,INU,"166.919006, -0.547458"
Angus Downs Airport,Angus Downs Station,ANZ,"132.2748, -25.0325"
Andulo Airport,,ANL,"16.710899353, -11.472299575800001"
Cangamba Airport,Cangamba,CNZ,"19.861099, -13.7106"
Dirico Airport,Dirico,DRC,"20.7680606842041, -17.981924057006836"
Lumbala Airport,Lumbala,GGC,"22.5868206024, -12.6398773193"
Jamba Airport,Jamba,JMB,"16.070148468017578, -14.698192596435547"
Capanda Airport,Capanda,KNP,"15.4553194046, -9.76937007904"
Ndalatandos Airport,Ndalatandos,NDF,"14.977242469787598, -9.275188446044922"
Aroa Airport,Agevairu,AOA,"146.8, -9.0254"
Annanberg Airport,,AOB,"144.635833333, -4.90416666667"
Abou-DeÃ¯a Airport,Abou-DeÃ¯a,AOD,"19.2874, 11.4773"
Asapa Airport,,APP,"148.103611111, -8.97916666667"
April River Airport,April River,APR,"142.540138889, -4.67666666667"
Troll Airfield,Troll Station,QET,"2.455581, -71.95559"
Girdwood Airport,Girdwood,AQY,"-149.126007, 60.966099"
Bragado Airport,Bragado,QRF,"-60.4803, -35.144"
Caleta Olivia Airport,Caleta Olivia,CVI,"-67.5186004639, -46.4318008423"
Charata Airport,Charata,CNT,"-61.2103, -27.2164"
General Villegas Airport,General Villegas,VGS,"-63, -35"
Los Menucos Airport,Los Menucos,LMD,"-68.074699, -40.817699"
Saenz PeÃ±a Airport,Presidencia Roque SÃ¡enz PeÃ±a,SZQ,"-60.448299407958984, -26.815799713134766"
Valcheta Airport,Valcheta,VCF,"-66.1500015259, -40.7000007629"
Sunchales Aeroclub Airport,Sunchales,NCJ,"-61.5283, -30.9575"
Carmen De Patagones Airport,Carmen de Patagones,CPG,"-62.9803, -40.7781"
Termal Airport,Presidencia Roque SÃ¡enz PeÃ±a,PRQ,"-60.492222, -26.753611"
Colonia Sarmiento Airport,Sarmiento,OLN,"-68.999841, -45.582371"
Aragip Airport,,ARP,"149.483333333, -9.88333333333"
Asbury Park Neptune Air Terminal,Asbury Park,ARX,"-74.0908333333, 40.2193055556"
Tau Airport,Tau Village,TAV,"-169.511001587, -14.2292003632"
Asirim Airport,,ASZ,"150.368611111, -6.009722222220001"
Namatanai Airport,Namatanai,ATN,"152.438, -3.6695"
Aitape Airport,Aitape,ATP,"142.346805556, -3.1436111111100002"
Lady Elliot Island Airstrip,Lady Elliot Island,LYT,"152.7156, -24.1129"
Agnew Airport,Agnew,AGW,"142.1490020751953, -12.145600318908691"
Alroy Downs Airport,Alroy Downs,AYD,"136.07899475097656, -19.290800094604492"
Baniyala Airport,Baniyala,BYX,"136.227005005, -13.19810009"
Coolibah Airport,Coolibah,COB,"130.96200561523438, -15.548299789428711"
Coorabie Airport,Coorabie,CRJ,"132.29600524902344, -31.894399642944336"
Carlton Hill Airport,Carlton Hill,CRY,"128.53399658203125, -15.501899719238281"
Cresswell Downs Airport,Cresswell Downs,CSD,"135.91600036621094, -17.947999954223633"
Diamantina Lakes Airport,Diamantina Lakes,DYM,"141.14500427246094, -23.761699676513672"
Hayman Island Resort Seaplane Base,Hayman Island,HIS,"148.88099670410156, -20.059999465942383"
Helenvale Airport,Helenvale,HLV,"145.21499633789062, -15.685799598693848"
Kimberley Downs Airport,Kimberley Downs,KBD,"124.3550033569336, -17.39780044555664"
Kulgera Airport,Kulgera,KGR,"133.29200744628906, -25.84280014038086"
Miranda Downs Airport,Miranda Downs,MWY,"141.886002, -17.328899"
Camballin Airport,Myroodah,MYO,"124.27200317382812, -18.12470054626465"
Orchid Beach Airport,Orchid Beach,OKB,"153.31500244141, -24.959400177002"
Peppimenarti Airport,Peppimenarti,PEP,"130.091003418, -14.144200325"
Rockhampton Downs Airport,Rockhampton Downs,RDA,"135.2010040283203, -18.95330047607422"
Sturt Creek Airport,Sturt Creek,SSK,"128.1739959716797, -19.166400909423828"
Shaw River Airport,Shaw River,SWB,"119.36199951171875, -21.510299682617188"
Tom Price Airport,Tom Price,TPR,"117.869003296, -22.746000289900003"
Torwood Airport,Torwood,TWP,"143.75, -17.363300323486328"
Springvale Airport,Springvale,ZVG,"127.66999816894531, -17.78689956665039"
Aua Island Airport,Aua Island,AUI,"143.064722222, -1.46055555556"
Ambunti Airport,Ambunti,AUJ,"142.823166667, -4.21566666667"
Agaun Airport,,AUP,"149.385667, -9.930833"
Aumo Airport,Aumo,AUV,"148.445277778, -5.731111111110001"
Alowe Airport,Wonga WonguÃ© Presidential Reserve,AWE,"9.444, -0.545"
Awar Airport,Awar,AWR,"144.853, -4.124"
Alxa Left Banner Bayanhot Airport,Bayanhot,AXF,"105.58858, 38.74831"
Kompiam Airport,,KPM,"143.924722222, -5.38166666667"
Buka Airport,Buka Island,BUA,"154.67300415039062, -5.4223198890686035"
Biaru Airport,Biaru,BRP,"146.7594, -7.6693"
Chimbu Airport,Kundiawa,CMU,"144.9709930419922, -6.024290084838867"
Munduku Airport,Munduku,MDM,"143.4516, -4.6204"
Kondobol Airport,Kondobol,KPF,"142.5049, -8.5336"
Dinangat Airport,Dinangat,DNU,"146.6772, -6.1546"
Doini Airport,Castori Islets,DOI,"150.7218, -10.7009"
Daru Airport,Daru,DAU,"143.207992554, -9.08675956726"
Embessa Airport,Embessa,EMS,"148.7628, -9.447"
Edwaki Airport,Yellow River Mission,XYR,"141.792234, -3.883986"
Eliptamin Airport,Eliptamin,EPT,"141.6779, -5.0412"
Engati Airstrip,Engati,EGA,"146.1053, -6.9179"
Emo River Airstrip,Emo Mission,EMO,"148.0415, -9.1234"
Erume Airport,Erume,ERU,"146.9747, -8.2538"
Meselia Airport,Demgulu,MFZ,"149.1183, -6.1364"
Feramin Airport,Feramin,FRQ,"141.6988, -5.208"
Frieda River Airport,Frieda River,FAQ,"141.960138, -4.610468"
Fuma Airport,Fuma,FUM,"142.4408, -6.3933"
Goroka Airport,Goronka,GKA,"145.391998291, -6.081689834590001"
Guari Airport,Guari,GUG,"146.8722, -8.1286"
Garasa Airport,Au,GRL,"147.213461, -7.980713"
Gurney Airport,Gurney,GUR,"150.333999634, -10.3114995956"
Gusap Airport,Gusap,GAP,"145.959047, -6.053196"
Girua Airport,Popondetta,PNP,"148.309005737, -8.80453968048"
Gasuke Airport,Gasuke,GBC,"141.7393, -6.1028"
Habi Airport,Habi,HBD,"142.4893, -6.32"
Heiweni Airport,Heiweni,HNI,"146.4276, -7.4223"
Honinabi Airport,Honinabi,HNN,"142.1771, -16.2457"
Kimbe Airport,Hoskins,HKN,"150.40499877929688, -5.462170124053955"
Haivaro Airport,Haivaro,HIT,"143.059, -6.9406"
Imane Airport,Imane,IMN,"146.1072, -6.7524"
Kungim Airport,Kungim,KGM,"141.03, -5.671"
Imonda Airport,Imonda,IMD,"141.1573, -3.328"
Ialibu Airport,Ialibu,IAL,"143.9944, -6.2782"
Witu Airport,Garove Island,WIU,"149.440112, -4.689522"
Yongai Airport,Yongai,KGH,"147.4603, -8.5289"
Losuia Airport,Losuia,LSA,"151.08099365234375, -8.505820274353027"
Kopiago Airport,Kopiago,KPA,"142.4977, -5.3883"
Kiunga Airport,Kiunga,UNG,"141.28199768066406, -6.1257100105285645"
Kanainj Airport,Kanainj,KNE,"144.7072, -5.2903"
Kikori Airport,Kikori,KRI,"144.2500762939453, -7.424379825592041"
Kerema Airport,Kerema,KMA,"145.770996094, -7.96361017227"
Kar Kar Airport,Kar Kar Island,KRX,"145.9404, -4.557"
Aropa Airport,Kieta,KIE,"155.728139, -6.305417"
Kuri Airport,Kuri,KUQ,"143.276111, -7.135083"
Kavieng Airport,Kavieng,KVG,"150.807998657, -2.57940006256"
Londolovit Airport,Londolovit,LNV,"152.628997803, -3.04361009598"
Lab Lab Airport,Lab Lab Mission,LAB,"148.0566, -5.7204"
Lowai Airport,Lowai,LWI,"146.6458, -6.3344"
Leron Plains Airport,Leron Plains,LPN,"146.3434, -6.3917"
Lese Airport,Lese,LNG,"146.2765, -8.2799"
Long Island Airport,Long Island,LSJ,"147.0177, -5.3604"
Yas Island Seaplane Base,Abu Dhabi,AYM,"54.6103, 24.467"
Manari Airport,Manari,MRM,"147.6219, -9.1908"
Morobe Airport,Morobe,OBM,"147.59, -7.74"
Madang Airport,Madang,MAG,"145.789001465, -5.20707988739"
Mount Hagen Kagamuga Airport,Mount Hagen,HGU,"144.29600524902344, -5.826789855957031"
Mougulu Airport,Mougulu,GUV,"142.420775, -6.280859"
Mendi Airport,Mendi,MDU,"143.656998, -6.14774"
Momote Airport,Manus Island,MAS,"147.423996, -2.06189"
Moro Airport,Moro,MXH,"143.238006592, -6.36332988739"
Misima Island Airport,Misima Island,MIS,"152.837997437, -10.689200401299999"
Marawaka Airport,Marawaka,MWG,"145.8849, -6.9736"
Nankina Airport,Gwarawon,NKN,"146.4533, -5.837"
Negarbo(Negabo) Airport,Negarbo,GBF,"144.703058, -6.567778"
Manguna Airport,Manguna,MFO,"151.792333, -5.577778"
Kasonombe Airport,Kasonombe,KSB,"146.9859, -6.3819"
Nomane Airport,Namane,NMN,"145.070667, -6.32183"
Nambaiyufa Airport,Nambaiyufa,NBA,"145.2424, -6.2412"
Nadzab Airport,Lae,LAE,"146.725977, -6.569803"
Konge Airport,Konge,KGB,"147.2152, -6.2239"
Oksapmin Airport,Oksapmin,OKP,"142.2259, -5.2261"
Komako Airport,Komako,HOC,"145.8827, -7.3984"
Komaio Airport,Komaio,KCJ,"143.5952, -7.2714"
Koroba Airport,Koroba,KDE,"142.7441, -5.6952"
Open Bay Airport,Maitanakunai,OPB,"151.696195, -4.794727"
Pangoa Airport,Pangoa,PGB,"141.5605, -7.0226"
Pangia Airport,Pangia,PGN,"144.1084, -6.386"
Mapoda Airport,Mapoda,MPF,"143.1694, -7.979"
Pumani Airport,Pumani,PMN,"149.4766, -9.7469"
Port Moresby Jacksons International Airport,Port Moresby,POM,"147.22000122070312, -9.443380355834961"
Sopu Airport,Sopu,SPH,"147.1659, -8.3038"
Sialum Airport,Sialum,SXA,"147.5955, -6.0908"
Rumginae Airport,,RMN,"141.271666667, -5.89722222222"
Karimui Airport,Karimui,KMR,"144.823, -6.4921"
Maramuni Airport,Maramuni,MWI,"143.4829, -5.13"
May River Airstrip,May River,MRH,"141.785, -4.3615"
Suabi Airport,,SBE,"142.278333333, -6.10444444444"
Simberi Airport,Simberi Island,NIS,"151.997777778, -2.66222222222"
Sila Airport,Sila Mission,SIL,"148.38925, -9.07355555556"
Sabah Airport,Sabah,SBV,"155.0489, -5.5765"
Simbai Airport,Simbai,SIM,"144.544722222, -5.278611111110001"
Selbang Airport,Selbang,SBC,"141.752, -5.315"
Sepik Plains Airport,Sepik Plains,SPV,"143.6734, -3.8821"
Sauren Airport,Sauren,SXW,"148.8543, -5.9701"
Masa Airport,Masa,MBV,"147.591, -6.345"
Tari Airport,Tari,TIZ,"142.947998047, -5.84499979019"
Tabubil Airport,Tabubil,TBG,"141.225998, -5.27861"
Tapini Airport,Tapini,TPI,"146.989166667, -8.35666666667"
Tokua Airport,Tokua,RAB,"152.380004883, -4.34045982361"
Tekin Airport,Tekin,TKW,"142.165194444, -5.24366666667"
Tep Tep Airport,Teptep,TEP,"146.5595, -5.9553"
Tsewi Airport,Tsewi,TSW,"146.1272, -7.0695"
Tarakbits Airport,Tarakbits,TRJ,"141.0421, -5.614"
Tawa Airport,Tawa,TWY,"146.1067, -7.4463"
Tekadu Airport,Tekadu,TKB,"146.5503, -7.6808"
Aiyura Airport,Aiyura Valley,AYU,"145.904166667, -6.33805555556"
Umba Airport,Umba,UMC,"145.966, -7.0214"
Uroubi Airport,Uroubi,URU,"148.5591, -9.5162"
Upiara Airport,Upiara,UPR,"142.6503, -8.5411"
Uvol Airport,Uvol,UVO,"150.9557, -6.0178"
Talasea Airport,Talasea,TLW,"150.0089, -5.2726"
Torembi Airport,Torembi,TCJ,"143.1329, -4.0165"
Vanimo Airport,Vanimo,VAI,"141.3028, -2.6926"
Tonu Airport,Tonu,TON,"155.4326, -6.6552"
Wabo Airport,Wabo,WAO,"145.075111111, -6.98944444444"
Wapenamanda Airport,,WBM,"143.89500427246094, -5.6433000564575195"
Wawoi Falls Airport,Wavoi Falls,WAJ,"142.6557, -6.9523"
Wewak International Airport,Wewak,WWK,"143.669006348, -3.58383011818"
Wonenara Airport,Wonenara,WOA,"145.891944444, -6.796861111110001"
Wakunai Airport,Wakunai,WKN,"155.2223, -5.8603"
Wasu Airport,Wasu,WSU,"147.19822526, -5.96170944919"
Woitape Airport,Fatima Mission,WTP,"147.2525, -8.54583333333"
Wau Airport,Wau,WUG,"146.718611111, -7.345555555560001"
Yeva Airport,Yeva,YVD,"146.188, -7.548"
Sim Airport,Sim,SMJ,"146.9273, -7.75"
Weam Airport,Weam,WEP,"141.1381, -8.6184"
Arugam Bay SPB,Pottuvil,AYY,"81.82388888890002, 6.86"
Yalumet Airport,Yalumet,KYX,"147.0117, -6.09"
Yasuru Airport,Yasuru,KSX,"146.1813, -6.6015"
Zahn's Airport,Amityville,AYZ,"-73.4, 40.71"
Wasum Airport,Wasum,WUM,"149.337, -6.0491"
Zabrat Airport,Baku,ZXT,"49.9768066406, 40.4955422161"
Lava Falls Heliport,Supai Village,HAE,"-113.092002869, 36.191600799599996"
Amazon Bay Airport,,AZB,"149.338333333, -10.2991666667"
Bali Airport,Unea Island,BAJ,"149.133333333, -4.8833333333299995"
Baibara Airport,Nabai,BAP,"149.6414, -10.3432"
Branson Airport,Branson,BKG,"-93.200544, 36.532082"
Baca Grande Airfield,Crestone,BCJ,"-105.776666667, 37.964777777799995"
Bambu Airport,Bambu,BCP,"146.4925, -5.863611111110001"
Benguera Island Airport,Benguera Island,BCW,"35.43830108642578, -21.853300094604492"
Milyakburra Airport,Bickerton Island,BCZ,"136.201666667, -13.780833333299999"
Willmar Municipal -John L Rice Field,Willmar,ILL,"-95.13040161, 45.11769867"
Baindoung Airport,,BDZ,"146.942222222, -6.34722222222"
Bereina Airport,Bereina Mission,BEA,"146.5083, -8.64"
Berlin Brandenburg Airport (U.C.),Berlin,BER,"13.493889, 52.351389"
Malevo Airport,Haskovo,HKV,"25.6047992706, 41.871799469"
Bezmer Air Base,Yambol,JAM,"26.3521995544, 42.4548988342"
Aasiaat Airport,Aasiaat,JEG,"-52.7846984863, 68.7218017578"
Aappilattoq (Qaasuitsup) Heliport,Qaasuitsup,AOQ,"-55.596287, 72.88703"
Tasiilaq Heliport,Tasiilaq,AGM,"-37.618335, 65.612296"
Alluitsup Paa Heliport,Alluitsup Paa,LLU,"-45.56917, 60.46445"
Attu Heliport,Attu,QGQ,"-53.6218696833, 67.9406628551"
Narsarsuaq Airport,Narsarsuaq,UAK,"-45.4259986877, 61.1604995728"
Qasigiannguit Heliport,Qasigiannguit,JCH,"-51.1734473705, 68.822815547"
Neerlerit Inaat Airport,Neerlerit Inaat,CNP,"-22.6504993439, 70.7431030273"
Dundas Airport,Pituffik,DUN,"-68.8, 76.525"
Eqalugaarsuit Heliport,Eqalugaarsuit,QFG,"-45.9140619636, 60.6197196536"
Godthaab / Nuuk Airport,Nuuk,GOH,"-51.6781005859, 64.19090271"
Qeqertarsuaq Heliport,Qeqertarsuaq Airport,JGO,"-53.5148763657, 69.251181993"
Iginniarfik,Iginniarfik,QFI,"-53.1735277176, 68.1472255861"
Ikerassaarsuk Heliport,Ikerassaarsuk,QRY,"-53.4414589405, 68.14088100629999"
Ilimanaq Heliport,Ilimanaq,XIQ,"-51.1143153906, 69.0809150007"
Innarsuit Heliport,Innarsuit,IUI,"-56.010817, 73.199895"
Isortoq Heliport,Isortoq,IOQ,"-38.976552, 65.547792"
Ikamiut Heliport,Ikamiut,QJI,"-51.8322622776, 68.6342530984"
Qaqortoq Heliport,Qaqortoq,JJU,"-46.0299186409, 60.715684155299996"
Ilulissat Airport,Ilulissat,JAV,"-51.0570983887, 69.2432022095"
Kangaatsiaq Heliport,Kangaatsiaq,QPW,"-53.4602075815, 68.3126574861"
Kulusuk Airport,Kulusuk,KUS,"-37.1236000061, 65.573600769"
Kuummiut Heliport,Kuummiut,KUZ,"-36.997919, 65.863935"
Kullorsuaq Heliport,Kullorsuaq,KHQ,"-57.226828, 74.57805"
Kangersuatsiaq Heliport,Kangersuatsiaq,KGQ,"-55.536586, 72.381092"
Kitsissuarsuit Heliport,Kitsissuarsuit,QJE,"-53.123295307199996, 68.85792599759999"
Maniitsoq Airport,Maniitsoq,JSU,"-52.9393997192, 65.4124984741"
Nanortalik Heliport,Nanortalik,JNN,"-45.232976675, 60.141883975899994"
Narsaq Heliport,Narsaq,JNS,"-46.059923172, 60.9172827256"
Niaqornat Heliport,Niaqornat,NIQ,"-53.662945, 70.789385"
Nuussuaq Heliport,Nuussuaq,NSQ,"-57.065037, 74.109853"
Bongo Airport,Bongo,BGP,"10.2088, -2.1713"
Paamiut Airport,Paamiut,JFR,"-49.6709365845, 62.0147361755"
